158	http://www.stat-nba.com/coach/158.html	L	拉里-克里斯科维亚克	Larry Krystkowiak	1964-09-23 00:00:00	Missoula, Montana	Big Sky in Missoula, Montana	University of Montana	2年 1支球队 0次进入季后赛	100场 31胜69负 胜率31.0%	0场	0次	0个	暂无信息
159	http://www.stat-nba.com/coach/159.html	J	约翰-库斯特	John Kuester	1955-02-06 00:00:00	Richmond, Virginia	Benedictine in Richmond, Virginia	University of North Carolina	2年 1支球队 0次进入季后赛	164场 57胜107负 胜率34.8%	0场	0次	0个	暂无信息
16	http://www.stat-nba.com/coach/16.html	B	布奇-贝尔德	Butch Beard	1947-05-04 00:00:00	Hardinsburg, Kentucky	Breckenridge County in Hardinsburg, Kentucky	University of Louisville	2年 1支球队 0次进入季后赛	164场 60胜104负 胜率36.6%	0场	0次	0个	暂无信息
160	http://www.stat-nba.com/coach/160.html	J	约翰-库达尔	John Kundla	1916-07-03 00:00:00	Star Junction, Pennsylvania	Minneapolis Central in Minneapolis, Minnesota	University of Minnesota	10年 1支球队 9次进入季后赛	665场 379胜286负 胜率57.0%	85场 52胜33负 胜率61.2%	5次	4个	暂无信息
161	http://www.stat-nba.com/coach/161.html	B	Bob Lanier	Bob Lanier	1948-09-10 00:00:00	Buffalo, New York	Bennett in Buffalo, New York	St. Bonaventure University	1年 1支球队 0次进入季后赛	37场 12胜25负 胜率32.4%	0场	0次	0个	暂无信息
162	http://www.stat-nba.com/coach/162.html	J	Joe Lapchick	Joe Lapchick	1900-04-12 00:00:00	Yonkers, New York	暂无信息	暂无信息	7年 1支球队 6次进入季后赛	465场 268胜197负 胜率57.6%	51场 26胜25负 胜率51.0%	3次	0个	暂无信息
163	http://www.stat-nba.com/coach/163.html	F	弗兰克-雷登	Frank Layden	1932-01-05 00:00:00	Brooklyn, New York	Fort Hamilton in Brooklyn, New York	Niagara University	8年 1支球队 5次进入季后赛	571场 277胜294负 胜率48.5%	41场 18胜23负 胜率43.9%	0次	0个	1次 (83-84赛季)
164	http://www.stat-nba.com/coach/164.html	G	George Lee	George Lee	1936-11-23 00:00:00	暂无信息	Highland Park in Highland Park, Michigan	University of Michigan	2年 1支球队 1次进入季后赛	134场 63胜71负 胜率47.0%	6场 2胜4负 胜率33.3%	0次	0个	暂无信息
165	http://www.stat-nba.com/coach/165.html	S	Slick Leonard	Slick Leonard	1932-07-17 00:00:00	Terre Haute, Indiana	Gerstmeyer in Terre Haute, Indiana	Indiana University	6年 3支球队 0次进入季后赛	450场 186胜264负 胜率41.3%	0场	0次	0个	暂无信息
166	http://www.stat-nba.com/coach/166.html	A	安德鲁-勒瓦尼	Andrew Levane	1920-04-11 00:00:00	Brooklyn, New York	James Madison in Brooklyn, New York	St. John's University	5年 3支球队 1次进入季后赛	276场 106胜170负 胜率38.4%	2场 0胜2负 胜率0.0%	0次	0个	暂无信息
167	http://www.stat-nba.com/coach/167.html	G	格兰迪-刘易斯	Grady Lewis	1917-03-25 00:00:00	Boyd, Texas	暂无信息	University of Oklahoma	1年 1支球队 0次进入季后赛	68场 26胜42负 胜率38.2%	0场	0次	0个	暂无信息
168	http://www.stat-nba.com/coach/168.html	G	Gene Littles	Gene Littles	1943-06-29 00:00:00	Washington, District of Columbia	McKinley in Washington, District of Columbia	High Point University	4年 3支球队 0次进入季后赛	155场 44胜111负 胜率28.4%	0场	0次	0个	暂无信息
169	http://www.stat-nba.com/coach/169.html	E	厄尔-洛依德	Earl Lloyd	1928-04-03 00:00:00	暂无信息	Parker-Gray in Alexandria, Virginia	West Virginia State University	2年 1支球队 0次进入季后赛	77场 22胜55负 胜率28.6%	0场	0次	0个	暂无信息
17	http://www.stat-nba.com/coach/17.html	C	Clair Bee	Clair Bee	1896-03-03 00:00:00	暂无信息	暂无信息	Waynesburg College	2年 1支球队 0次进入季后赛	139场 32胜107负 胜率23.0%	0场	0次	0个	暂无信息
170	http://www.stat-nba.com/coach/170.html	T	Tates Locke	Tates Locke		暂无信息	暂无信息	暂无信息	1年 1支球队 0次进入季后赛	46场 16胜30负 胜率34.8%	0场	0次	0个	暂无信息
172	http://www.stat-nba.com/coach/172.html	J	John Logan	John Logan	1921-01-01 00:00:00	Richmond, Indiana	暂无信息	Indiana University	1年 1支球队 0次进入季后赛	3场 2胜1负 胜率66.7%	0场	0次	0个	暂无信息
173	http://www.stat-nba.com/coach/173.html	K	凯文-朗格利	Kevin Loughery	1940-03-28 00:00:00	Brooklyn, New York	Cardinal Hayes in Bronx, New York	St. John's University	17年 7支球队 8次进入季后赛	1136场 474胜662负 胜率41.7%	27场 6胜21负 胜率22.2%	0次	0个	暂无信息
174	http://www.stat-nba.com/coach/174.html	S	西德尼-洛维	Sidney Lowe	1960-01-21 00:00:00	Washington, District of Columbia	DeMatha Catholic in Hyattsville, Maryland	North Carolina State University	5年 3支球队 0次进入季后赛	307场 79胜228负 胜率25.7%	0场	0次	0个	暂无信息
175	http://www.stat-nba.com/coach/175.html	J	约翰-卢卡斯	John Lucas	1953-10-31 00:00:00	Durham, North Carolina	Hillside in Durham, North Carolina	University of Maryland	6年 3支球队 2次进入季后赛	431场 173胜258负 胜率40.1%	14场 6胜8负 胜率42.9%	0次	0个	暂无信息
176	http://www.stat-nba.com/coach/176.html	J	吉姆-利那姆	Jim Lynam	1941-09-15 00:00:00	暂无信息	暂无信息	暂无信息	10年 4支球队 3次进入季后赛	720场 328胜392负 胜率45.6%	21场 8胜13负 胜率38.1%	0次	0个	暂无信息
177	http://www.stat-nba.com/coach/177.html	E	爱德-麦考雷	Ed Macauley	1928-03-22 00:00:00	St. Louis, Missouri	Saint Louis University High School in St. Louis, Missouri	Saint Louis University	2年 1支球队 2次进入季后赛	137场 89胜48负 胜率65.0%	20场 9胜11负 胜率45.0%	1次	0个	暂无信息
